country,date,avg_tone
VUT,2015-08-08,0.630914826
VUT,2016-03-16,0.625651721
VUT,2016-10-03,-1.538461538
VUT,2016-10-17,-1.880877743
VUT,2016-10-18,-2.054794521
VUT,2016-10-21,-3.648648649
VUT,2016-10-23,-1.6
VNM,2015-02-26,1.583113456
VNM,2015-02-27,-1.260504202
VNM,2015-03-12,-0.126262626
VNM,2015-03-30,6.306306306
VNM,2015-03-31,1.004406819
VNM,2015-04-02,-1.36425648
VNM,2015-04-03,-1.71957672
VNM,2015-04-04,1.666666667
VNM,2015-04-22,0.736196319
VNM,2015-04-23,-3.351955307
VNM,2015-04-29,1.507537688
VNM,2015-05-12,5.660377358
VNM,2015-05-13,-1.89404728
VNM,2015-05-23,-3.529411765
VNM,2015-05-25,1.326412918
VNM,2015-05-26,0.711237553
VNM,2015-05-27,1.837672282
VNM,2015-06-11,0.276625173
VNM,2015-07-03,-5.833333333
VNM,2015-07-08,1.729110339
VNM,2015-07-09,2.186642528
VNM,2015-07-10,3.837426444
VNM,2015-07-14,1.337792642
VNM,2015-07-20,1.342440917
VNM,2015-07-21,-1.534526854
VNM,2015-07-23,0.232288037
VNM,2015-07-27,3.097696585
VNM,2015-07-30,3.755868545
VNM,2015-08-03,-0.101419878
VNM,2015-08-04,-0.101419878
VNM,2015-08-05,-0.53361793
VNM,2015-08-12,-4.033970276
VNM,2015-08-14,2.725968436
VNM,2015-08-15,-9.016393443
VNM,2015-08-19,7.009498854
VNM,2015-08-20,7.637906648
VNM,2015-08-21,7.6
VNM,2015-08-22,8.901515152
VNM,2015-08-23,6.561085973
VNM,2015-09-02,-4.31372549
VNM,2015-09-09,1.460823373
VNM,2015-09-18,1.312335958
VNM,2015-09-22,0.608828006
VNM,2015-09-24,-0.946891725
VNM,2015-10-12,3.67825384
VNM,2015-10-13,-3.174603175
VNM,2015-10-21,-8.32847737
VNM,2015-10-22,-8.502153992
VNM,2015-10-23,-5.039604162
VNM,2015-10-26,0.339934819
VNM,2015-10-29,2.336448598
VNM,2015-11-03,-3.157894737
VNM,2015-11-11,-4.207119741
VNM,2015-11-18,-2.45398773
VNM,2015-11-20,-8.720728917
VNM,2015-11-21,-7.652109292
VNM,2015-11-23,-1.234567901
VNM,2015-11-25,-4.08544199
VNM,2015-11-26,-6.239420263
VNM,2015-11-27,-0.776864408
VNM,2015-11-28,4.967854835
VNM,2015-11-30,2.605960168
VNM,2015-12-01,2.106504707
VNM,2015-12-02,2.096386483
VNM,2015-12-03,3.055999416
VNM,2015-12-04,5.653266332
VNM,2015-12-10,-3.561643836
VNM,2015-12-15,-8.371040724
VNM,2015-12-22,-4.858299595
VNM,2016-01-06,0.348432056
VNM,2016-01-07,-3.183121029
VNM,2016-01-08,-0.327868852
VNM,2016-01-11,-3.911564626
VNM,2016-01-14,-2.124311566
VNM,2016-01-15,-3.976653508
VNM,2016-01-17,-1.996007984
VNM,2016-01-21,-4.402515723
VNM,2016-01-25,-7.887323944
VNM,2016-02-10,-2.200662461
VNM,2016-02-11,-3.674791894
VNM,2016-02-12,-3.488372093
VNM,2016-02-17,-3.068181818
VNM,2016-02-23,-3.068181818
VNM,2016-02-25,-0.176056338
VNM,2016-02-29,-0.903614461
VNM,2016-03-01,-3.068181753
VNM,2016-03-03,-2.669404517
VNM,2016-03-07,-4.133858268
VNM,2016-03-14,-3.068181818
VNM,2016-03-19,5.970149254
VNM,2016-03-25,-3.068181818
VNM,2016-04-11,-3.068181818
VNM,2016-04-19,-3.007945516
VNM,2016-04-21,0.736196319
VNM,2016-04-25,-3.719008264
VNM,2016-04-27,-1.959800479
VNM,2016-04-29,-3.184713376
VNM,2016-05-03,0.172413793
VNM,2016-05-11,-3.007945516
VNM,2016-05-13,-7.186858316
VNM,2016-05-14,-6.722689076
VNM,2016-05-21,-3.157894737
VNM,2016-05-23,-3.007945516
VNM,2016-05-24,-3.605911034
VNM,2016-05-25,-2.109704641
VNM,2016-05-26,-2.109704641
VNM,2016-05-28,-1.323251418
VNM,2016-05-31,-1.516219068
VNM,2016-06-03,-5.084745763
VNM,2016-06-05,0
VNM,2016-06-09,2.272727273
VNM,2016-06-13,0.456621005
VNM,2016-06-15,-3.063583815
VNM,2016-06-23,-2.731797775
VNM,2016-06-24,-2.961408286
VNM,2016-06-25,-3.392575897
VNM,2016-06-26,-2.659574468
VNM,2016-06-30,0.423280423
VNM,2016-07-07,0.91954023
VNM,2016-07-08,-3.073089701
VNM,2016-07-11,-0.964113551
VNM,2016-07-12,0
VNM,2016-07-14,-3.063583815
VNM,2016-07-15,-4.118993135
VNM,2016-07-16,-3.063583815
VNM,2016-07-17,-3.542510121
VNM,2016-07-18,-3.672985782
VNM,2016-07-21,-5.033500386
VNM,2016-07-24,-3.063583815
VNM,2016-07-28,-1.205365867
VNM,2016-07-29,-3.063583815
VNM,2016-07-30,-3.063583815
VNM,2016-07-31,-2.151626618
VNM,2016-08-02,-3.063583815
VNM,2016-08-03,-1.838150289
VNM,2016-08-09,-3.063583815
VNM,2016-08-19,-4.536862004
VNM,2016-08-20,-4.771371769
VNM,2016-08-22,-2.572347267
VNM,2016-08-31,0.819672131
VNM,2016-09-03,-5.305305305
VNM,2016-09-09,1.181828664
VNM,2016-09-10,-1.805391646
VNM,2016-09-11,-2.843527309
VNM,2016-09-12,-2.877697842
VNM,2016-09-14,4.132231405
VNM,2016-09-15,-1.351351351
VNM,2016-09-20,-1.67844523
VNM,2016-09-21,-0.828444097
VNM,2016-09-26,2.112676056
VNM,2016-09-27,-3.063583815
VNM,2016-09-29,-2.898550725
VNM,2016-09-30,0
VNM,2016-10-01,-4.861111111
VNM,2016-10-04,6.896551724
VNM,2016-10-05,2.894736842
VNM,2016-10-06,5.586592179
VNM,2016-10-24,-0.217050154
VNM,2016-10-26,-2.388513961
VNM,2016-11-09,0.098619329
VNM,2016-11-10,-1.838610827
VNM,2016-11-16,0
VNM,2016-11-17,2.209944751
VNM,2016-11-20,-2.053036784
VNM,2016-11-21,2.118644068
VNM,2016-12-01,-1.284796574
VNM,2016-12-08,-2.448979592
VNM,2016-12-12,-4.406307633
VNM,2016-12-23,0.423280423
VNM,2016-12-25,-4.23991727
VNM,2016-12-27,-8.20754717
VNM,2016-12-28,0
VNM,2016-12-29,-0.532249557
VNM,2017-02-07,-1.5625
VNM,2017-02-09,-4.263565891
VNM,2017-02-13,-2.461538462
VNM,2017-02-15,-6.946866493
VNM,2017-02-16,-6.318951251
VNM,2017-02-17,-3.336377636
VNM,2017-02-18,-5.722149383
VNM,2017-02-19,-4.876634781
VNM,2017-02-20,-4.985310225
VNM,2017-02-21,-6.69743858
VNM,2017-02-22,-6.036874595
VNM,2017-02-23,-6.612529002
VNM,2017-02-25,-4.637354737
VNM,2017-02-26,-3.943879321
VNM,2017-02-27,-2.05963664
VNM,2017-02-28,-9.547138478
VNM,2017-03-01,-7.6606097
VNM,2017-03-02,-5.09074956
VNM,2017-03-03,-6.844115058
VNM,2017-03-04,-5.789917681
VNM,2017-03-05,-5.746561886
VNM,2017-03-06,-5.458443971
VNM,2017-03-07,-5.538074261
VNM,2017-03-10,0.806451613
VNM,2017-03-11,0.731944404
VNM,2017-03-13,-1.075898096
VNM,2017-03-14,-5.205046721
VNM,2017-03-15,-4.199131552
VNM,2017-03-16,-3.980367972
VNM,2017-03-17,-5.178710513
VNM,2017-03-18,-4.200666642
VNM,2017-03-19,-6.49697351
VNM,2017-03-20,-6.432748538
VNM,2017-03-22,-3.672706444
VNM,2017-03-23,-6.051196688
VNM,2017-03-26,-2.242178885
VNM,2017-03-30,-0.909805277
VNM,2017-03-31,-3.395029619
VNM,2017-04-06,-5.133079848
VNM,2017-04-07,-5.283018868
VNM,2017-04-10,-6.52173913
VNM,2017-04-12,-5.479019211
VNM,2017-04-13,-7.930298455
VNM,2017-04-14,-8.580858086
VNM,2017-04-15,-1.041666667
VNM,2017-04-17,-2.31990232
VNM,2017-04-18,-3.013325715
VNM,2017-04-20,-1.792592037
VNM,2017-04-21,-3.173246998
VNM,2017-04-23,1.746216531
VNM,2017-04-24,1.602564103
VNM,2017-04-25,0.823779889
VNM,2017-04-26,-5.693950178
VNM,2017-04-27,-1.6
VNM,2017-04-28,-10.32448378
VNM,2017-04-30,-6.71875
VNM,2017-05-01,-0.430107527
VNM,2017-05-02,-5.336885337
VNM,2017-05-03,-5.140961857
VNM,2017-05-05,-3.6
VNM,2017-05-06,-1.218097448
VNM,2017-05-07,-1.218097448
VNM,2017-05-08,-8.26446281
VNM,2017-05-10,3.870967742
VNM,2017-05-11,3.870967742
VNM,2017-05-12,-8.506616257
VNM,2017-05-15,-4.198076248
VNM,2017-05-18,-8.260589798
VNM,2017-05-19,0
VNM,2017-05-22,2.054794521
VNM,2017-05-23,-6.041666667
VNM,2017-05-31,0.034529403
VNM,2017-06-01,-0.680169854
VNM,2017-06-02,-1.335863936
VNM,2017-06-04,-0.785340314
VNM,2017-06-09,-0.199909132
VNM,2017-06-14,-4.31757449
VNM,2017-06-15,-4.878180687
VNM,2017-06-19,-10.13215859
VNM,2017-06-20,-6.488337043
VNM,2017-06-21,-10.41666667
VNM,2017-06-22,-2.057877814
VNM,2017-06-23,-3.285714286
VNM,2017-06-26,-3.131828114
VNM,2017-06-28,-1.06870229
VNM,2017-06-30,-3.067484663
VNM,2017-07-05,-5.555555556
VNM,2017-07-06,-2.888191995
VNM,2017-07-07,-4.069767442
VNM,2017-07-27,-7.977647795
VNM,2017-07-28,-8.634840065
VNM,2017-07-29,-1.069518717
VNM,2017-07-31,-2.741116751
VNM,2017-08-01,-1.810215612
VNM,2017-08-02,-2.396014856
VNM,2017-08-03,-1.849720837
VNM,2017-08-07,-4.255319149
VNM,2017-08-08,-1.276337115
VNM,2017-08-09,-3.738317757
VNM,2017-08-11,-5.341880342
VNM,2017-08-12,-1.74291939
VNM,2017-08-13,-5.763517528
VNM,2017-08-14,-2.613636364
VNM,2017-08-18,-2.869565217
VNM,2017-08-22,-2.614379085
VNM,2017-08-31,-3.426797864
VNM,2017-09-01,-1.839705232
VNM,2017-09-02,-2.53968254
VNM,2017-09-06,-3.019538188
VNM,2017-09-07,-2.941176471
VNM,2017-09-08,-2.694300518
VNM,2017-09-09,-2.880658436
VNM,2017-09-10,-3.984063745
VNM,2017-09-11,-2.620545073
VNM,2017-09-12,-1.99795082
VNM,2017-09-13,-2.840059791
VNM,2017-09-17,-1.234567901
VNM,2017-09-18,-2.800230568
VNM,2017-09-19,-3.338926399
VNM,2017-09-20,-9.736456808
VNM,2017-09-21,-1.785714286
VNM,2017-09-22,-3.852596315
VNM,2017-09-23,-3.839732888
VNM,2017-09-25,-1.19047619
VNM,2017-09-29,-3.473866977
VNM,2017-10-01,-2.529182879
VNM,2017-10-02,-9.642223531
VNM,2017-10-03,-4.81794501
VNM,2017-10-04,-6.485321235
VNM,2017-10-05,-4.385964912
VNM,2017-10-09,-0.069607062
VNM,2017-10-10,-4.033166811
VNM,2017-10-11,-6.15418607
VNM,2017-10-12,0
VNM,2017-10-13,-3.350515464
VNM,2017-10-16,-0.610923423
VNM,2017-10-18,-1.384615385
VNM,2017-10-20,-4.87804878
VNM,2017-10-22,-3.121783245
VNM,2017-10-23,-3.304217559
VNM,2017-10-24,-7.970116618
VNM,2017-10-25,-5.598227768
VNM,2017-10-26,-0.573444464
VNM,2017-10-27,-0.980626146
VNM,2017-10-28,-1.992991494
VNM,2017-10-29,-1.746393318
VNM,2017-10-30,-3.619751566
VNM,2017-10-31,-1.633058513
VNM,2017-11-01,1.630165727
VNM,2017-11-02,-2.529604807
VNM,2017-11-03,-2.266717187
VNM,2017-11-04,-3.826833401
VNM,2017-11-05,-2.646489722
VNM,2017-11-06,-3.964103113
VNM,2017-11-07,-1.674991112
VNM,2017-11-08,-2.367241865
VNM,2017-11-09,-1.180425607
VNM,2017-11-10,-1.9097161
VNM,2017-11-11,-2.999195162
VNM,2017-11-12,-3.726129451
VNM,2017-11-13,-5.135324196
VNM,2017-11-14,-0.330503807
VNM,2017-11-15,-1.105665925
VNM,2017-11-16,-4.822691392
VNM,2017-11-17,-2.249172162
VNM,2017-11-20,-1.717074546
VNM,2017-11-21,-0.195829161
